Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Player-additional
Chuba Hubbard,CAR,6,14,0,1,8,1.3,6,1.0,0,,HubbCh01
Miles Sanders,CAR,5,22,0,,13,2.6,9,1.8,1,5.0,SandMi01
Mike Boone,CAR,4,7,0,,2,0.5,5,1.3,1,4.0,BoonMi00
Bryce Young,CAR,4,12,1,1,12,3.0,0,0.0,0,,YounBr01
Jonathan Mingo,CAR,1,3,0,0,3,3.0,0,0.0,0,,MingJo00
Alvin Kamara,NOR,15,83,1,5,63,4.2,20,1.3,0,,KamaAl00
Jamaal Williams,NOR,11,38,1,3,22,2.0,16,1.5,0,,WillJa06
Taysom Hill,NOR,5,35,0,4,7,1.4,28,5.6,1,5.0,HillTa00
Jordan Mims,NOR,4,11,0,,7,1.8,4,1.0,0,,MimsJo00
Derek Carr,NOR,2,13,0,1,10,5.0,3,1.5,0,,CarrDe02
